edge_hm,GSR
0.212950855463045,NO
2.11405804440415,NO
2.06699811987989,NO
2.24324266186023,NO
0.539649450130863,NO
-1.49805105142569,NO
1.27209345993765,NO
1.91422954915054,NO
-0.0387385852467634,NO
-2.3333906296194,NO
-0.123106163471738,NO
-0.417589731140296,NO
2.05025201536301,NO
-0.00684656807196041,NO
-0.641360245260681,NO
-1.47322346269771,NO
-1.0236693763121,NO
0.444749731689167,NO
-1.0423445085468,NO
-1.52127003109722,NO
-0.900124686771802,NO
-0.158004622821393,NO
0.83591538297905,NO
0.246415766076111,NO
-1.00158061769848,NO
-0.252305294056087,NO
-0.220643237563317,NO
0.447141977932836,NO
0.996997766260504,NO
1.59787719734007,NO
2.13261347010059,NO
-0.541651706783964,NO
0.311670996428599,NO
-0.380524221571581,NO
0.381698525098739,NO
0.660959968849013,NO
0.227118904300433,NO
1.859464268744,NO
0.973376264381833,NO
0.740891346660797,NO
0.886488820487366,NO
-0.622098584270388,NO
-1.35525609588057,NO
-0.181980645618062,NO
-1.22649472038422,NO
-0.845699226441272,NO
0.796562661908227,NO
2.09093873964956,NO
0.568100501110519,NO
0.762106751805884,NO
-1.29206229889877,NO
-1.58327408920688,NO
-0.255305586170593,NO
-0.70437672672122,NO
0.948909838801451,NO
1.53200059125585,NO
0.479387178913611,NO
0.0363534810842838,NO
-0.876309357497056,NO
1.20217863094607,NO
1.60528044792266,NO
-0.605853434418112,NO
0.18447030160726,NO
0.433480175552998,NO
0.0124593767112361,NO
0.309454938380923,NO
0.936341583830856,NO
-0.323519447089167,NO
0.277874267824132,NO
-1.02200867533784,NO
0.209733738173188,NO
-0.202345132294862,NO
-0.533533480873669,NO
-0.988006619357682,NO
-0.55038402693262,NO
0.482970950129061,NO
-0.768777444939544,NO
0.0243523878753334,NO
-0.766405260459358,NO
-0.150618688525029,NO
1.68801415588385,NO
-0.781404173227483,NO
3.06813715950704,NO
1.34832863891756,NO
0.162547600557573,NO
0.0317135918951712,NO
-1.24345636587189,NO
0.336592700997414,NO
-0.0576651355120614,NO
1.03643622607081,NO
0.57934929718666,NO
0.522592045850177,NO
-0.239674920392008,NO
0.182906254978521,NO
-1.8324386633605,NO
1.63245399522007,NO
-0.599614183570631,NO
0.809516273734509,NO
1.673122309093,NO
-1.7690347802212,NO
0.88578551893456,NO
-1.54755968648515,NO
-0.247386072440927,NO
0.339552322659731,NO
-0.418294473675286,NO
-1.1829768110122,NO
-2.14739437904272,NO
0.617941651234033,NO
-1.06538900353726,NO
1.19036754500402,NO
-2.25999671141459,NO
-0.923382358356494,NO
0.949806844371175,NO
-0.0461459780443495,NO
1.32899265179864,NO
0.455802311919052,NO
1.27996061689188,NO
0.0867636490722216,NO
-1.69450980640927,NO
-0.133436547247814,NO
1.40104662871193,NO
-1.45012996598488,NO
0.430964511387383,NO
-0.334313390802704,NO
0.330429825332306,NO
-0.644936170849227,NO
-0.948668842612352,NO
0.988906858187098,NO
0.541094795717592,NO
0.761897759866665,NO
0.139221871935851,NO
1.60971109580016,NO
1.27187530752424,NO
-0.985145975634752,NO
-1.10328337487756,NO
-0.568167443787628,NO
1.98629203593561,NO
-1.16967085196282,NO
0.632078061550618,NO
-0.893539200142207,NO
0.495043858668775,NO
-1.49415588896252,NO
-0.75569045780384,NO
-0.131897589132156,NO
0.582428477390882,NO
0.187093505540033,NO
0.981610004328513,NO
1.24456726538812,NO
0.368917889619271,NO
-1.18829433397863,NO
-1.82470689056109,NO
-1.19968080279165,NO
0.491420639149583,NO
1.38135144010164,NO
-0.584625500926568,NO
0.183272136161798,NO
-1.96723285847639,NO
-0.403535203096358,NO
-1.51501003781812,NO
