,component,strengh
CBL.CON,1,7.37851717988733
CON.CON,1,6.44367375593075
CON.MEM,1,7.32948503691552
AUD.SMH,1,7.77127556478972
CBL.SMH,1,7.92687654741887
CON.SMH,1,6.35645088270242
DAN.SMH,1,6.19278944525678
DMN.SMH,1,7.67899648846872
FPN.SMH,1,9.47746143600517
MEM.SMH,1,7.02893108306197
SAL.SMH,1,9.29654021535733
SMH.SMH,1,7.46574933292058
SMH.SMM,1,7.72459680509037
SMH.SUB,1,6.78795014173337
SMH.VAN,1,8.02620337403732
