cost,thr_avg,thr_sd,d_GAMMsAge_AIC,d_GAMMsAge_sex_b,d_GAMMsAge_sex_t,d_GAMMsAge_sex_p,d_GAMMsAge_edf,d_GAMMsAge_f,d_GAMMsAge_p,d_GAMMsAgeSex_AIC,d_GAMMsAgeSex_sex_b,d_GAMMsAgeSex_sex_t,d_GAMMsAgeSex_sex_p,d_GAMMsAgeSexF_edf,d_GAMMsAgeSexF_f,d_GAMMsAgeSexF_p,d_GAMMsAgeSexM_edf,d_GAMMsAgeSexM_f,d_GAMMsAgeSexM_p,d_GAMMsPDS_AIC,d_GAMMsPDS_sex_b,d_GAMMsPDS_sex_t,d_GAMMsPDS_sex_p,d_GAMMsPDS_edf,d_GAMMsPDS_f,d_GAMMsPDS_p,d_GAMMsPDSSex_AIC,d_GAMMsPDSSex_sex_b,d_GAMMsPDSSex_sex_t,d_GAMMsPDSSex_sex_p,d_GAMMsPDSSexF_edf,d_GAMMsPDSSexF_f,d_GAMMsPDSSexF_p,d_GAMMsPDSSexM_edf,d_GAMMsPDSSexM_f,d_GAMMsPDSSexM_p,c_GAMMsAge_AIC,c_GAMMsAge_sex_b,c_GAMMsAge_sex_t,c_GAMMsAge_sex_p,c_GAMMsAge_edf,c_GAMMsAge_f,c_GAMMsAge_p,c_GAMMsAgeSex_AIC,c_GAMMsAgeSex_sex_b,c_GAMMsAgeSex_sex_t,c_GAMMsAgeSex_sex_p,c_GAMMsAgeSexF_edf,c_GAMMsAgeSexF_f,c_GAMMsAgeSexF_p,c_GAMMsAgeSexM_edf,c_GAMMsAgeSexM_f,c_GAMMsAgeSexM_p,c_GAMMsPDS_AIC,c_GAMMsPDS_sex_b,c_GAMMsPDS_sex_t,c_GAMMsPDS_sex_p,c_GAMMsPDS_edf,c_GAMMsPDS_f,c_GAMMsPDS_p,c_GAMMsPDSSex_AIC,c_GAMMsPDSSex_sex_b,c_GAMMsPDSSex_sex_t,c_GAMMsPDSSex_sex_p,c_GAMMsPDSSexF_edf,c_GAMMsPDSSexF_f,c_GAMMsPDSSexF_p,c_GAMMsPDSSexM_edf,c_GAMMsPDSSexM_f,c_GAMMsPDSSexM_p,l_GAMMsAge_AIC,l_GAMMsAge_sex_b,l_GAMMsAge_sex_t,l_GAMMsAge_sex_p,l_GAMMsAge_edf,l_GAMMsAge_f,l_GAMMsAge_p,l_GAMMsAgeSex_AIC,l_GAMMsAgeSex_sex_b,l_GAMMsAgeSex_sex_t,l_GAMMsAgeSex_sex_p,l_GAMMsAgeSexF_edf,l_GAMMsAgeSexF_f,l_GAMMsAgeSexF_p,l_GAMMsAgeSexM_edf,l_GAMMsAgeSexM_f,l_GAMMsAgeSexM_p,l_GAMMsPDS_AIC,l_GAMMsPDS_sex_b,l_GAMMsPDS_sex_t,l_GAMMsPDS_sex_p,l_GAMMsPDS_edf,l_GAMMsPDS_f,l_GAMMsPDS_p,l_GAMMsPDSSex_AIC,l_GAMMsPDSSex_sex_b,l_GAMMsPDSSex_sex_t,l_GAMMsPDSSex_sex_p,l_GAMMsPDSSexF_edf,l_GAMMsPDSSexF_f,l_GAMMsPDSSexF_p,l_GAMMsPDSSexM_edf,l_GAMMsPDSSexM_f,l_GAMMsPDSSexM_p,e_GAMMsAge_AIC,e_GAMMsAge_sex_b,e_GAMMsAge_sex_t,e_GAMMsAge_sex_p,e_GAMMsAge_edf,e_GAMMsAge_f,e_GAMMsAge_p,e_GAMMsAgeSex_AIC,e_GAMMsAgeSex_sex_b,e_GAMMsAgeSex_sex_t,e_GAMMsAgeSex_sex_p,e_GAMMsAgeSexF_edf,e_GAMMsAgeSexF_f,e_GAMMsAgeSexF_p,e_GAMMsAgeSexM_edf,e_GAMMsAgeSexM_f,e_GAMMsAgeSexM_p,e_GAMMsPDS_AIC,e_GAMMsPDS_sex_b,e_GAMMsPDS_sex_t,e_GAMMsPDS_sex_p,e_GAMMsPDS_edf,e_GAMMsPDS_f,e_GAMMsPDS_p,e_GAMMsPDSSex_AIC,e_GAMMsPDSSex_sex_b,e_GAMMsPDSSex_sex_t,e_GAMMsPDSSex_sex_p,e_GAMMsPDSSexF_edf,e_GAMMsPDSSexF_f,e_GAMMsPDSSexF_p,e_GAMMsPDSSexM_edf,e_GAMMsPDSSexM_f,e_GAMMsPDSSexM_p
0.01,0.714791858937901,0.0320758740254099,-41.5053536765499,0.0100648763864764,0.272842831687601,0.785404768175976,2.33555392171235,2.94451239372894,0.0295222014983822,-39.5739323534495,0.0114212716661922,0.309475400292784,0.757456235813302,1.00000000006109,0.18955756854216,0.664008309216429,2.21648233593206,4.42636802091752,0.00899544084392686,-44.2888224608709,0.0393599549939764,1.10481899199185,0.271267386551131,2.27655238486461,5.83907672494537,0.006679085804531,-40.7168416614246,0.0429542818749073,1.17967212850635,0.240292245122807,1.00000000007893,0.000236682904472409,0.987749093413649,2.44072190020663,6.32747533202554,0.0111897338663575,-623.394152792137,0.0046716863682061,1.11948311546798,0.264967001911027,1.00000000012073,4.26634148770089e-06,0.998355079028087,-620.516942543332,0.0046670474474119,1.12296309832809,0.263507015704353,1.00000000007164,0.482092315554164,0.488702676767662,1.00000000000001,0.566731542472039,0.452911350932638,-623.455746726778,0.00461712710731568,1.11053077948905,0.268789223229084,1.00000000015393,0.061612050998831,0.804351671365425,-619.916911219228,0.00444800216358836,1.06973358542524,0.286706331156472,1,0.0301406019384918,0.862439572094004,1.00000000005549,0.475843062744674,0.491528671139546,744.207451389216,0.738397058825694,1.13808812760766,0.257145134328306,1.00000000000001,0.571101200394222,0.451163173736402,746.502251366068,0.700990850226782,1.07585984359677,0.283967372445421,1.00000000000002,0.0734999651368808,0.786734105585372,1,2.18823524485126,0.141469273691929,744.777233289355,0.691762393907036,1.06739512251715,0.287741723271252,1.00000000013344,1.04813765642136e-06,0.999184682757131,747.037999461657,0.61208975046162,0.939999048138314,0.348948098204796,1.0000000000778,0.539314883997499,0.464025037330315,1.00000000004767,1.11643145204659,0.292615244320124,-764.616383257785,0.000644778647386983,0.258698589610803,0.796270770908773,1.00000000012073,0.785581825216989,0.377041392323589,-760.659773165618,0.000644232917947658,0.258520424160898,0.796411028326609,1.00000000007164,0.287174766512257,0.592945433055339,1.00000000005198,0.595830433760914,0.44155804783733,-763.861960796944,0.000403057014442054,0.161834607525863,0.871683553927133,1.00000000015393,0.0289186581026052,0.865227345850225,-759.981754252577,0.000351389141994896,0.140897746200426,0.888167151412028,1.00000000009175,0.0027422045401795,0.958316783749117,1.00000000005549,0.142846768658519,0.706078889658005
0.02,0.650510053635505,0.0336118245495783,119.727844534851,0.0265562340128095,0.402287739705572,0.688129664287707,2.34693733924983,3.15552052096845,0.0234998378670894,122.537658973646,0.0306289249511516,0.464199190582377,0.64328255573728,1.00000000006247,0.146790744488366,0.702247964255616,2.18412069945171,4.2814513162709,0.011101835529042,116.527079051743,0.0820782202812301,1.29242992254545,0.198488528957519,2.29707255645342,6.2639850052366,0.00417832799213292,120.568400535247,0.0932797822138964,1.45978940435708,0.146777654803384,1.49655085007927,0.646539478965703,0.447845437694031,2.43407494676522,6.60922541233982,0.00761510411642865,-628.781092467317,-0.00225669454226066,-0.530324728166075,0.59677781264476,1.00000000011037,0.254074029507962,0.615061204532048,-624.864018659185,-0.00229173048285083,-0.53969517591138,0.590323467371893,1.00000000000002,0.32739522779658,0.568177529365613,1.00000000004776,0.021106052973294,0.884713710563714,-628.5393488181,-0.00207710174196575,-0.489964406184576,0.624972436844143,1.00000000013958,0.011900380170877,0.91329766919308,-624.542137357422,-0.00205849322252845,-0.484064557005036,0.629148309393199,1.00000000008295,0.0144015303618587,0.904661950905661,1.00000000005065,0.000560833093397318,0.981142367120388,493.290715016485,0.101454607142406,0.404270275303224,0.686671899319427,1.73285557875095,2.40072043241209,0.19998157097977,495.13279124383,0.111924289615344,0.448933309145296,0.654225723002524,1.00000000006731,0.00315328915900085,0.955305041539224,1.73552247834111,4.36621134010104,0.0780343945104504,494.688104830597,0.165804565642653,0.656103614333702,0.512899505992339,1.00000000014379,0.0637966328292856,0.8009857165786,496.618405974965,0.191568414200222,0.761592892788548,0.447671917190232,1.00000000008548,0.343073241266107,0.559068367198196,1.00000000005207,1.69262205729884,0.195511321500454,-649.30246709373,0.00235348870630164,0.610657139423037,0.542476607260798,1.00000000011676,0.3826374669198,0.537261046181746,-645.713743470669,0.00233143724911223,0.604051033486238,0.546854368292939,1.00000000006916,0.0030338361592923,0.956158429942208,1.00000000004996,0.803294885489509,0.371743672306469,-648.924286857615,0.00210931337557004,0.549501623119486,0.583589715631993,1.00000000014884,0.00235691741814283,0.961352815447551,-645.820430462373,0.00186842360978119,0.485940416527099,0.627821254824215,1.000000000088,0.233064755584118,0.63006638881802,1.00000000005346,0.616706505439451,0.43368576576033
0.03,0.605839559479301,0.0337504401063793,211.512504804802,0.0462263148869465,0.501054344895009,0.617176068001496,2.35852040045533,3.30414013140156,0.0199943872121572,214.86903654465,0.053064067608237,0.575304448871992,0.566081120073387,1.00000000000002,0.120242438950827,0.729333078302915,2.16666835639626,4.18337426816557,0.0126052112657601,207.931823785201,0.126023784828417,1.42349218018478,0.156976643556202,2.31763501370504,6.61039864501818,0.00297481881356373,212.304477013343,0.14280762471062,1.61074803418771,0.109680262669077,1.64823481084197,1.13432149319751,0.289928859602678,2.42515944848525,6.6604630897653,0.00666124231975998,-617.043059882012,0.000816194852131839,0.191104596954269,0.848737275076596,1.00000000012073,0.0209250590024684,0.885203929381874,-613.086307013044,0.0008152612369308,0.190916025067744,0.848886951197872,1.00000000007164,0.000678572015225541,0.979257564589892,1.00000000005198,0.0622845552548084,0.803311786833101,-617.618826264477,0.000578599945486623,0.136234011003673,0.891843841126315,1.00000000015393,0.597991143625761,0.440722578553241,-613.619062463414,0.000574686714302451,0.135070219367254,0.892763672833573,0.999999999999999,0.400315970616186,0.528028982079665,1.00000000005549,0.235274389612439,0.628450371131347,424.842858232512,-0.0517519264950369,-0.270394330525968,0.78727921429849,1.00000000012073,0.699931230833401,0.40431088132479,428.839340414733,-0.0517399931103581,-0.270335302151849,0.787327743550668,1.00000000007164,0.354422267550111,0.552647463134583,1.00000000005198,0.398122598181539,0.529159741336181,425.48063108337,-0.0333567280438051,-0.174486124592764,0.861750769996084,1.00000000015393,0.0603897828536745,0.80626261593322,429.241563346951,-0.0277553165994249,-0.145051920522899,0.884892815318421,1.00000000009175,0.00481298991292292,0.94479634652291,1.00000000005549,0.288846481661027,0.591872454845771,-687.643844677095,0.00185046686507029,0.543596705412476,0.587635922037256,1.00000000011257,1.16783336731168,0.281798829429036,-684.220136014476,0.00180273834087314,0.527755309132671,0.598561950335694,1.00000000006669,0.11496452422304,0.735104287814106,1,1.73127254038138,0.190546464185176,-686.78495356266,0.001411783513357,0.416477854040149,0.677736796178483,1.00000000014362,0.291774316270497,0.589995922207568,-683.518201569639,0.0011971246022792,0.351250418348358,0.725964774259941,1.00000000008425,0.000289629572865827,0.986447744171433,1.00000000005138,1.04299723823878,0.308991778209413
0.04,0.570512858727131,0.0330373445884384,274.930739404008,0.0658679477440442,0.566461698898754,0.572051883674008,2.36689629324331,3.396644142608,0.0180370878445645,278.613361289905,0.0753080762533959,0.647470274414247,0.518470755859198,1.00000000006287,0.115717384243441,0.734276264881077,2.15684094005301,4.12534648240889,0.0135515134125996,271.183288750039,0.167984662896903,1.50770051625015,0.134045058139948,2.32681827048744,6.78770450122152,0.00246199727521284,275.86350999073,0.188976653865132,1.69656210134206,0.0921935999678913,1.71537079891194,1.435270140292,0.225025402140304,2.41158217554772,6.5730871531963,0.00667585354228452,-615.327686206602,0.00248013454956935,0.577076819693265,0.56487046486785,1.00000000012073,0.00185947496373895,0.965669738304827,-614.256241433553,0.0018585919345049,0.440817770339943,0.660077050736801,1.00000000007104,0.315319365981517,0.575400879429562,1.98754632064002,3.0082443731523,0.0462373805189258,-615.552800602779,0.00238898916538178,0.558273033672147,0.577603665394627,1.00000000000001,0.227161981128799,0.63442424474809,-614.721518024447,0.00417889865305207,0.981696218894175,0.328080287107212,1.0000000000909,0.0381765329745272,0.845395364642495,2.51882309100365,2.00152529806149,0.0656457228277167,256.293058457086,-0.0610607591133894,-0.589954788091225,0.556229502687155,1,0.839310748717534,0.361264657398857,260.245130548844,-0.06101810349785,-0.589241991501862,0.556713748931004,1.00000000007149,0.304334116315871,0.582117812835254,1.00000000005186,0.641675709563312,0.424548519904067,256.986304762762,-0.0495694789908792,-0.479576694806186,0.632322057176833,1,0.143262513558302,0.705666991526875,260.853291140528,-0.0472937567056979,-0.456708349138344,0.648637057612394,1.00000000009162,0.012139208176547,0.91243676128406,1.00000000005542,0.271115674398211,0.60346331635914,-795.574232802678,0.00182026354306122,0.778080807855763,0.43791380879537,1.00000000010762,0.772152593755953,0.381139072174987,-792.076759069154,0.00178043759150522,0.759887222331824,0.448687364326418,1.00000000006453,0.047403892357368,0.827982659418288,1.00000000004597,1.2739029189302,0.261077681839214,-794.995723136241,0.00158247720331107,0.678365457297727,0.498727514532709,1.00000000013598,0.189678094657458,0.663896001280892,-791.365710545795,0.00147227463461706,0.628454602393371,0.530800370174995,1.00000000008034,0.00107975113917439,0.973836589641854,1,0.565473689804067,0.453412151059221
0.05,0.540756783475765,0.0323912076231755,322.709079438167,0.0847702666402976,0.612834952618441,0.541050979017227,2.37694431212912,3.47190163206948,0.0165089833973095,326.65910632102,0.0968472861711023,0.69948104305598,0.485502601404146,1.00000000006302,0.11426372311724,0.735887094415832,2.15005289182929,4.08184970734921,0.0142760013639711,318.846144541494,0.207973311904845,1.57084191519294,0.118637783262458,2.33408696491142,6.93067291417837,0.0021114906101118,323.745084358341,0.232649505843078,1.75930720098903,0.0808991185688273,1.75931427536888,1.66630467748237,0.185091846010644,2.40190882855089,6.51399118021474,0.00666000020217904,-585.182665127606,-0.00132681496769696,-0.274138949373777,0.78440837334685,1.61181939131963,1.18235843000597,0.354738729010302,-584.852746493668,-0.00163222746036202,-0.3410771226914,0.733596598499742,1.00000000006813,0.0251203477815087,0.874313694065027,2.1051116868789,4.20448689394677,0.0171736640133001,-586.041147305547,0.000904691555465326,0.189531603762016,0.849969461724032,1.96545631162461,2.14737904589733,0.11515912039669,-584.571925670118,0.00170153584334371,0.358254373374878,0.720736479535243,1.00000000009094,0.239390218398294,0.625474860698269,2.54470660789309,2.14995611164272,0.0559149543114527,117.075794506826,-0.0397202928443219,-0.636339496645269,0.525657046473851,1.00000000000003,0.799393402746,0.372891814572376,120.859628413784,-0.0395837986340154,-0.633693882238286,0.527385496114106,1.00000000007104,0.141258544575765,0.707640976826733,1.0000000000515,0.925820077360908,0.337710848672627,117.707353379936,-0.0328916645533994,-0.528091066667788,0.598322798678042,1.00000000015323,0.164192985606725,0.685981076840263,121.381311155096,-0.0306409227726007,-0.490708980920466,0.624453274030039,1.00000000009087,0.000350927646671226,0.985082554465317,1.00000000005502,0.493779940606794,0.483489599906281,-860.512719004741,0.00206305265767908,1.0867533869139,0.279126322519678,1.00000000010041,0.371596483572682,0.54318320089168,-856.958167532556,0.00201885597451184,1.06017532229896,0.291015622050296,1.00000000006088,0.00222236726265809,0.962471853490377,1.00000000004266,0.838199987479442,0.361583037346082,-860.218824846048,0.00193725431566272,1.02477851702747,0.307342040072696,1.0000000001267,0.0744786122338707,0.785350657191382,-856.526210551291,0.00184574139790972,0.969869101347433,0.333899037986884,1.00000000007458,0.00450437309095347,0.946592774450277,1.00000000004576,0.380995151421493,0.538142524172623
0.06,0.514628421052612,0.0319302096636158,361.198172773455,0.102757625281697,0.645890809860983,0.519483178652258,2.38132512070533,3.5342782939558,0.0154227428893488,365.371431726728,0.117380714129611,0.736632617824428,0.46267452057388,1.00000000006313,0.114945765323289,0.735129853452675,2.14326706274861,4.03602055552803,0.0150733290448367,357.16591655847,0.246088644201634,1.61789627763193,0.10809659065821,2.3425159376937,7.08223169973981,0.00181916971721679,362.252325803004,0.27394812998268,1.80439849281332,0.0735053663235971,1.79544728207853,1.88372557773213,0.154250619655675,2.39669581940873,6.48283553709539,0.00664587627214022,-566.051018837933,0.00177329084883254,0.335111650448737,0.738075699230802,1.71023563174956,1.18661782844382,0.292033528402949,-566.027717859335,0.00147893417276095,0.283781804903629,0.777029525912297,1.00000000006586,0.00493463639672814,0.94410514898061,2.1331081551468,4.27967276863108,0.0140577163071861,-567.594841566488,0.00414930793209872,0.797945765641337,0.426345717241896,1.96896867325809,2.57282924547087,0.0727937609118771,-564.909336071715,0.00480259335476382,0.925680601651459,0.356333059460409,1.00000000008709,0.336616154245007,0.562796686229164,2.44225422727713,4.4075780076111,0.0734671367999079,-3.10832280599639,-0.044488158714371,-1.07895919096773,0.282573557446131,1.00000000011365,0.441702735736658,0.50746114837892,0.56743950314231,-0.0440977527188303,-1.06819602008607,0.287396577033437,1.00000000000002,0.019463316717675,0.889260629610772,1.00000000004869,0.771037690848979,0.38149419185352,-2.68759678893929,-0.0416073705068863,-1.01302792754084,0.312900105573872,1.00000000014441,0.0172909525525737,0.895583899006263,1.04915999275595,-0.0400722878744022,-0.972202768646912,0.33274139218786,1.00000000008549,0.0294700658906482,0.863963072612864,1.00000000005207,0.241882319871782,0.623673001383118,-893.022530626928,0.00277275914421442,1.58135840390112,0.116189318765755,1,0.0971574197558013,0.755759659203737,-889.482319543196,0.00261962042260814,1.48587060956508,0.139723509062225,1,0.0314038400944817,0.859616991267209,1.40895146937592,1.34982294273527,0.418022208181067,-895.363214970354,0.00323785376854416,1.90037244884433,0.0595829793766873,2.07864597756827,3.50823466346151,0.0458042167360784,-891.892626562445,0.00332918460267418,1.89357953178749,0.0605039843069879,1.00000000006593,0.00205134096485084,0.963944302119397,2.04762946070756,3.60667744018724,0.0291480903248352
0.07,0.491126030597265,0.031262885891253,393.293809654488,0.119666895226204,0.669327241976891,0.504468156188335,2.38476087204936,3.59171383514488,0.0144989107555391,397.66902722522,0.13677019364716,0.763391836016769,0.446614373333425,1.00000000006323,0.117993285415669,0.731776699067941,2.13700372262369,3.99146416105077,0.0158800247777064,389.118475927915,0.282197748394332,1.65237236950919,0.100859927287758,2.3492061589544,7.20942035120756,0.00159762097742044,394.346817974477,0.312952311808939,1.83714547513085,0.0684937628020927,1.82272970605939,2.06315941195765,0.132551566277514,2.39318592434355,6.46786690309815,0.00658425664862319,-549.890049200564,0.000562663107503388,0.100979402431547,0.919721223889123,2.02156034887973,2.51941036421999,0.0744836978185507,-550.300350770677,0.000562005147335319,0.10227948577306,0.918692696333277,1.00000000006626,0.00850394562237963,0.926667949816234,2.21535625807099,5.28103455571562,0.00568997723116511,-551.085060379444,0.00399994943650568,0.733924999097105,0.464306990848303,2.10066250997626,3.71727485765829,0.0402261195790391,-549.097779615113,0.00466924949246,0.85753148253258,0.392736286789362,1.00000000008898,0.315232283487642,0.575457899772267,2.56773860264214,2.52497946139011,0.0362772851191454,-88.5631463603889,-0.0382645649445154,-1.23749884863585,0.218098728550799,1.00000000000001,0.11765625164765,0.732136162557746,-85.2131581791941,-0.0375759654612796,-1.21211978885453,0.227648169301667,1.00000000006417,0.065281330086308,0.79873604225629,1.00000000004566,0.683359742110686,0.409927748101372,-88.4467746971157,-0.0372957267377142,-1.21121663136394,0.227976371774436,1.00000000013544,0.000827487655725375,0.977094595914747,-84.889627488252,-0.0356164252360919,-1.15073047880532,0.251939278059963,1.00000000007979,0.148344469166993,0.700747134005525,1.00000000004883,0.271573580168483,0.603157974249325,-886.14638197328,0.0027246385053106,1.50047750250617,0.135889775004146,1.59956762446247,1.0127607507305,0.350436252038968,-885.113318082186,0.00248611178318043,1.35441959715612,0.177954555863038,1.00000000005214,0.576888403263574,0.448906018645084,2.14189415212655,2.76843812553109,0.0444409796989808,-892.159349606167,0.00366552888339276,2.11080420311991,0.0366952558637066,2.37811339992711,6.15771345649912,0.00969404943658325,-887.480890660241,0.00362588273176044,1.99739697443348,0.0478731677145871,1.0000000000634,0.302682027783248,0.583151498914068,2.21340009037618,4.9840634891419,0.0104847323635296
0.08,0.469770906748981,0.0307406216322219,420.599789543038,0.136270925918647,0.690033759486774,0.491397234116103,2.38896457707943,3.65434404964928,0.0135463084692554,425.172215567485,0.155882168925061,0.787301894084605,0.432539648341223,1.00000000006329,0.120512323391957,0.729041418920343,2.13166114609554,3.95486239068452,0.0165797101687532,416.331510290854,0.317264875656481,1.68260258197187,0.0948405229644397,2.35457705359131,7.31513329604329,0.00143095944111029,421.658140755587,0.350907572703436,1.86700764585809,0.0641745005685105,1.84285572390089,2.20431931059831,0.117390487882004,2.39008375111664,6.46655723329245,0.00642480856443535,-545.035411011485,0.00140823798404552,0.253789603248225,0.800056171961726,2.05703186302542,2.56641849489074,0.0651638051395173,-543.831511772142,0.00160720963627932,0.291756875389578,0.770938090458168,1,0.000489056084525559,0.982390475842774,2.14462630604036,4.50101523286516,0.0117811236527901,-546.994809977539,0.00533845343060522,0.974478734665311,0.331616932199584,2.14849381153179,4.37063071887278,0.0222511486845141,-543.458991838671,0.00582752674099841,1.05792015334814,0.292060592952462,1.00000000009175,0.215804653506348,0.643035140345918,2.45672218947632,2.46631825939178,0.0408453072225171,-147.415000540052,-0.0258679094677289,-1.02204863367557,0.308627351436648,1.00000000010355,0.0203227490546535,0.886856735383868,-144.008470624033,-0.0252249981741819,-0.99258678930645,0.322741240996638,1.00000000006219,0.369337188276801,0.544417878934721,1.00000000004387,0.212254806386923,0.6457697305933,-147.514734262457,-0.0265200499228157,-1.05250714467675,0.294489825507878,1.00000000013033,0.120250888163201,0.729314741352306,-144.024006226529,-0.0249638010131672,-0.984105889418631,0.326877534185326,1.00000000000003,0.462261364911408,0.497766214843725,1.00000000004691,0.137004286212377,0.711875261100745,-868.612877810284,0.00226245025318505,1.17687095239726,0.24138235396904,2.08538850237257,3.08480580240941,0.0397309609992007,-866.49489211167,0.0021764026600726,1.1169277302668,0.266089256000863,1.00000000005272,0.777345022094044,0.379574812907802,2.24988097832378,3.09812695248821,0.0273840035006541,-875.618525728516,0.00365896975335475,2.00456044833388,0.0470786148146673,2.44294006620486,7.84585491395442,0.0019589147354426,-868.718730657832,0.00371359193102814,1.96933252244376,0.051055878525643,1.57400051050243,1.59659444829624,0.321764113371279,2.29869332624167,5.66099649777021,0.00762543662638881
0.09,0.449972754407844,0.0299859039467519,444.300012099405,0.153612193082322,0.713416785165498,0.476860724098488,2.39255085968535,3.71266592953715,0.0127245251115291,449.054840154993,0.175678928072591,0.813407194921212,0.417473366067602,1.00000000000002,0.122322177854179,0.727095926651024,2.12677451567615,3.91897441890099,0.0172797550834852,439.927333447246,0.352375557705536,1.7148314767239,0.0887472588801257,2.35966598363007,7.41868496258891,0.00128114812152565,445.346052792103,0.388714336078598,1.8987084935376,0.0598406300148365,1.86048325835247,2.33499907988775,0.104787800005714,2.38704657310776,6.46962815109691,0.00623236635635019,-543.985384720855,0.00274772482730712,0.484624733136309,0.628751666787953,1.96344727032764,2.24549093012607,0.107661390474013,-542.802086896019,0.00282786657286399,0.503104217643696,0.615743017379726,1.00000000006714,0.0134458489889221,0.907866299592797,2.10401686870371,4.14512082078566,0.0170761758151499,-546.125673936313,0.00626592833286937,1.13087790192015,0.260174655701097,2.13000947160536,4.09513878480744,0.0291450120046748,-542.713222263485,0.00684451946812842,1.22906818896278,0.2212732865364,1.00000000008978,0.31819691717423,0.573668193466886,2.40758598666411,4.77983898180161,0.0463284885633552,-172.029177835542,-0.0231120611621688,-0.975614718939918,0.331039977206421,1.0000000000976,0.121969770263116,0.727464364629522,-168.807441473084,-0.0222355252629537,-0.931332985149094,0.353394543188679,1.00000000005888,0.706057804845765,0.402278499410155,1.00000000004078,0.168379175956861,0.682226658985216,-172.705633397457,-0.0291714275109259,-1.25353249781632,0.212240333957104,1.75216771731163,1.93486483517077,0.200641959819994,-168.890616668366,-0.0222368973914717,-0.931938364625865,0.353082758534787,1.00000000007124,0.75971911304367,0.385001646898133,1.00000000004373,0.196347139528997,0.658416514528737,-849.37306749039,0.00217516893019606,1.06592093622262,0.28842314469902,2.21086322058256,3.55819669452044,0.0203123662777907,-846.244253541005,0.00216288835080904,1.04315862484025,0.298814635930632,1.00000000005385,0.852379256489124,0.357582211565365,2.25686246356753,3.15800905995485,0.0254283188171189,-856.917664500249,0.00386246188638316,1.99672744559497,0.0479343881958459,2.43894190122377,8.58243127987155,0.000652510437743151,-849.57030152078,0.00400367172755711,2.01949483640134,0.0455093490483474,1.79908646818045,2.63446543966109,0.129718660227667,2.3046785301415,5.90215377930831,0.00495363441029451
0.1,0.431722886258055,0.0292729866471092,465.182347452008,0.17012487521515,0.732001008363055,0.465479452002075,2.39567603940501,3.76201772851681,0.0120665999039705,470.100976464126,0.194556726992008,0.834247782081872,0.405673160316115,1.00000000006335,0.124732515451343,0.724529893183763,2.12192672224784,3.88306121916311,0.018005642407862,460.720151879278,0.385848420765753,1.7403859189232,0.0841460300893846,2.3640349657772,7.50714308239999,0.00116660985024663,466.22057192482,0.42466339313041,1.92332512482846,0.0566470876782683,1.87469264789967,2.4452963784649,0.0950987560708012,2.38460535032468,6.47050750769763,0.00609206731011394,-542.310922796858,0.0033877582906734,0.590833916264377,0.555650474084173,2.09886148007825,2.87996309875963,0.0455184557698303,-540.256467651547,0.00365430760202337,0.642934900536275,0.521399804337684,1.00000000006685,0.00902390807696908,0.924465798535474,2.12257909506177,4.32756968251513,0.0143297111314672,-544.251460580269,0.00757424512579504,1.34799655041361,0.179990483175956,2.26099603663614,4.90996124713576,0.021473355742051,-540.092677040383,0.00787870961445836,1.39267805699414,0.166103094899399,1.00000000008799,0.0911822439415998,0.763163818740837,2.47052362726018,2.43464048756992,0.0418847008486496,-190.210485752791,-0.0238862788156251,-1.06773251773721,0.287590028418577,1.00000000009539,0.169708768162807,0.681038966206688,-187.169717399509,-0.0229007230031267,-1.01438139964752,0.312270657184439,1.00000000005765,0.911688121849309,0.341412555511918,1.00000000003959,0.196141536076912,0.658583934025699,-194.057088116404,-0.0330916268844235,-1.53324758309061,0.127628581771331,2.11866389670489,4.43206844718099,0.0170101097944539,-188.786638066891,-0.0305751185943908,-1.35262203873136,0.17852308186861,1.00000000006796,0.749524857854229,0.388211496764165,1.92654038035244,2.48925120095415,0.0726560169202138,-835.883966759278,0.00213027378089202,1.00262844513034,0.317892185280487,2.25589269414072,3.80056989339165,0.0151744925946712,-831.884820860577,0.0021799462043361,1.01027248929266,0.314244385671946,1.00000000005521,0.708743101811419,0.401401571122444,2.20364341105221,3.17805155041955,0.0272101477068951,-843.695846353605,0.00397261300904746,1.97404170264913,0.0504880350023757,2.44101471668086,8.87877278760029,0.000394481876048305,-836.19855634373,0.0041407013956465,2.01688034533303,0.0457868389731648,1.8762662235057,3.03130998777806,0.0792308709699259,2.31761022269786,6.07913692579193,0.00439603446318509
