max_comp,max_sum
0,0
1,5.38246306447834
2,11.9285104619355
8,74.0715523770523
0,0
0,0
1,5.95619464027492
1,5.31907737761005
0,0
0,0
0,0
0,0
2,16.0166672473381
0,0
1,9.22590177323178
0,0
5,42.3988879565438
0,0
0,0
0,0
6,35.2395602186326
10,86.4692735454333
0,0
0,0
0,0
0,0
9,122.268696410282
0,0
1,4.39431848771198
8,64.0870223062069
0,0
2,16.9992367624665
0,0
0,0
6,63.1672718694284
1,5.40865337568353
0,0
0,0
1,7.36809467830382
1,9.29194957991901
0,0
1,4.18995436529817
0,0
1,7.26552375155891
0,0
0,0
0,0
1,4.6312607098378
0,0
1,7.71914825298323
0,0
0,0
0,0
0,0
0,0
0,0
2,19.8868972365141
0,0
0,0
1,8.27378296976289
4,34.953105114643
0,0
1,5.46596582865145
1,11.341362131284
1,9.27896805579041
0,0
0,0
1,6.54329254338726
0,0
1,7.787659098902
0,0
4,42.5697926602295
0,0
0,0
4,28.7489173889444
11,111.253323685679
5,41.286469872718
0,0
0,0
2,13.2673899436418
0,0
0,0
0,0
0,0
1,7.38761221196159
2,15.6181141293185
1,8.57386443252136
3,24.0321571333245
0,0
0,0
1,8.73509979708884
1,9.19490840956562
0,0
1,5.09012454369633
0,0
0,0
1,8.01637907079208
0,0
0,0
1,7.14097764395802
2,16.443762683766
0,0
0,0
0,0
6,55.4339572747181
0,0
7,66.5686657407365
0,0
3,31.1100905843616
2,15.0912918575565
1,5.71472748858674
2,11.2147138481613
0,0
1,4.18636664004874
1,4.148662933165
0,0
0,0
0,0
0,0
6,45.5019614642033
3,22.2139845837522
1,10.0977103096002
0,0
0,0
0,0
0,0
1,5.21560380379778
0,0
0,0
0,0
1,9.26932843725556
1,7.34595063893285
0,0
0,0
1,7.74787656226311
0,0
0,0
0,0
1,10.8827474973792
2,18.8553523080037
4,37.2600901960355
0,0
0,0
0,0
6,59.4828215288475
1,7.79889862324972
1,7.44933469428905
0,0
2,15.4054992185444
0,0
0,0
0,0
5,41.490731197114
0,0
1,7.67481600516639
0,0
0,0
0,0
10,72.2938601719528
2,25.571003330252
1,4.1615183803551
0,0
0,0
3,27.5023537017596
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,7.24328469973254
0,0
0,0
2,18.9012509598243
5,39.6698627174368
0,0
0,0
1,7.1692548888487
1,4.69385919866622
0,0
0,0
0,0
0,0
3,21.0385101019051
1,11.5553530104602
0,0
1,4.4595639334016
1,5.81613328552984
0,0
0,0
1,8.36097691215656
0,0
1,8.23181595211931
0,0
2,16.9759944946124
0,0
9,102.36706139694
1,8.07096618237122
0,0
1,8.0948606925149
0,0
0,0
1,7.70470444927347
1,7.32160838130466
1,8.14806845967457
1,4.645657024511
0,0
0,0
1,8.8932203270636
1,10.4821363062446
0,0
0,0
9,77.6241972528193
1,7.42473679833327
0,0
1,7.92669631353359
3,27.4678929487277
1,7.83741980824771
0,0
0,0
0,0
5,45.5733437439101
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,17.6943773857303
21,229.708639795232
1,4.9844466140271
3,20.5210493286593
1,4.78401198590265
0,0
2,22.891533106989
1,9.022292194829
4,35.1519655440751
0,0
4,32.9325143815165
3,28.3010425603579
0,0
0,0
1,6.28790215162612
16,145.781610647999
2,15.5971750312672
2,14.008804919867
1,5.8937465491598
2,15.2468580804302
0,0
0,0
9,96.2226578457691
6,50.0928770759958
0,0
1,7.31958638914864
0,0
1,10.3182808515167
2,16.9033551498781
0,0
3,23.5192268799666
0,0
1,8.57874860130654
5,34.2362235138387
1,8.13142955749143
0,0
0,0
0,0
1,9.82735277769729
0,0
1,8.90368289864752
1,7.60611388314536
0,0
0,0
0,0
0,0
0,0
5,32.3413413165676
0,0
3,30.5136443167866
0,0
0,0
0,0
7,59.7880694232847
1,8.41933256083792
2,18.3116149385827
0,0
0,0
8,68.4108203006749
0,0
14,203.074214233343
2,12.8865145859642
1,6.72962443205092
0,0
0,0
6,66.0857924394875
1,8.37383150219754
1,7.80436615555598
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,17.880070979729
0,0
5,55.821464352808
0,0
0,0
1,7.65178643242004
0,0
1,7.20403657727485
7,65.6177713658761
1,7.76350377522863
0,0
0,0
0,0
6,62.1536515047629
0,0
17,155.33689697981
0,0
4,31.0970187649718
0,0
0,0
6,54.5357138660782
2,15.4744235230653
0,0
0,0
2,17.1387313437022
0,0
0,0
0,0
5,39.8705794615387
0,0
7,66.5503228147008
4,31.961504589832
0,0
0,0
0,0
1,10.0312605899929
5,41.1282013568994
0,0
0,0
7,61.1297681940608
0,0
0,0
1,5.57899544781743
1,10.1489802108339
0,0
0,0
1,8.03883069589408
0,0
0,0
1,12.2907997683974
6,57.1232868420567
0,0
0,0
0,0
0,0
11,119.167367959002
0,0
1,9.85881281962745
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,43.4833542301089
0,0
0,0
0,0
1,8.00075397611693
0,0
1,9.02146082172833
0,0
0,0
0,0
2,16.4967882918041
5,47.5516088273054
19,162.420034453947
0,0
2,15.4080963383458
1,7.36311408314042
0,0
0,0
1,5.94731354403268
1,7.71170969484344
0,0
7,48.608859656135
10,80.4203354411005
7,59.3664171243973
2,23.5006495459166
4,33.9451238632173
0,0
2,28.9473302643953
0,0
0,0
5,33.0540901697644
2,15.4737515530333
2,16.2969419527376
0,0
15,143.640286919551
1,7.36009401383004
7,72.8781476953943
8,77.0914621694942
0,0
1,7.52849385281031
1,7.29272379249625
1,6.41208066651393
10,120.838366628214
5,51.7091216320211
2,17.6455801811895
0,0
13,144.489709603467
0,0
0,0
0,0
5,45.807594385964
0,0
0,0
8,94.7600049810658
0,0
0,0
5,47.5042593265124
0,0
14,249.061755953225
2,19.4973723788256
0,0
1,6.87008886006608
2,11.5506836693033
0,0
3,24.8659935508513
0,0
0,0
0,0
0,0
0,0
0,0
4,37.6931749988154
5,40.4455862430376
0,0
1,9.45357141549406
0,0
1,8.19222920357768
1,7.966721543163
2,12.7168238538112
0,0
0,0
3,15.1389544913574
4,35.0661342685813
0,0
0,0
0,0
0,0
1,11.7524456579582
0,0
0,0
0,0
0,0
1,9.64548995547253
2,17.1379883404808
1,8.00650382760273
0,0
0,0
0,0
0,0
3,21.2511302919818
1,3.8967964497378
1,7.42214910871217
0,0
0,0
1,4.91854024088182
11,96.9589550313953
0,0
4,35.8471380329221
1,12.2189532324556
9,83.7076847038711
0,0
1,8.4990822705843
0,0
0,0
0,0
0,0
0,0
7,65.3504380469101
1,7.70607097267181
0,0
0,0
2,10.3422458728168
0,0
0,0
1,5.53220502323505
5,51.8177473087774
0,0
0,0
0,0
1,10.2666981484073
1,7.88441060482872
0,0
0,0
0,0
2,16.4204756880017
1,11.1145785653204
0,0
1,6.38869827598408
1,7.97565712595197
1,5.30181332354572
0,0
3,26.1624415180836
13,109.211220517975
2,15.7216495860774
0,0
3,26.7467871047832
3,23.4473657384677
0,0
1,7.30630078719967
0,0
0,0
8,70.3709314042891
0,0
1,7.53051763048832
0,0
2,15.989124289643
1,8.81695153032944
0,0
1,4.46146300122154
1,4.98101872915209
0,0
0,0
0,0
1,9.84890995470963
1,6.18281276330736
1,5.35990006594807
0,0
1,7.89604840575744
0,0
0,0
0,0
1,7.62351350555563
1,11.2419116056448
1,4.04920360379831
4,23.7981255457077
0,0
3,22.7330208161835
0,0
1,7.30007026902389
6,79.8324067959755
1,8.10081922586746
2,17.3743520515491
0,0
1,7.66721856232746
0,0
2,16.570278498419
0,0
0,0
0,0
3,38.070808364312
0,0
5,54.4135594152814
0,0
8,69.210173605302
2,18.6746779443241
0,0
2,18.5202323017048
7,57.5868885076295
0,0
3,25.7559904917908
0,0
2,21.96885820993
0,0
1,7.91388185137354
16,173.291743282556
0,0
1,9.51112315034667
1,7.13914282733338
1,15.7227894901955
0,0
3,18.8637257192293
1,9.55227532985486
0,0
0,0
0,0
4,35.0590989338376
1,9.03294213527711
0,0
3,25.4617736911413
0,0
0,0
1,7.48361599546583
1,5.46625615134091
1,5.3770456490706
